,importance
TotLen Fwd Pkts,0.12235282926443937
Fwd Pkt Len Max,0.1055884420024766
Fwd Pkt Len Std,0.09166030857177819
Subflow Fwd Byts,0.07301670760909469
Flow Duration,0.056266009452804605
Fwd IAT Tot,0.05620167516999506
Fwd Pkt Len Mean,0.051075861287644034
Fwd Seg Size Avg,0.03977418731631302
Fwd IAT Mean,0.037510133575985295
Flow IAT Max,0.037463663080691136
Flow Pkts/s,0.03745808767888404
Fwd IAT Std,0.03738728985060741
Fwd Header Len,0.029270709191147798
Flow IAT Mean,0.02812331642644114
Fwd Pkts/s,0.028066923246069995
Flow IAT Std,0.028052971343774505
Subflow Fwd Pkts,0.019730124437407653
Bwd IAT Mean,0.01725636768967008
Bwd IAT Max,0.01708721020775417
Tot Fwd Pkts,0.009991113616011495
Init Bwd Win Byts,0.008951194441612414
TotLen Bwd Pkts,0.008825305641466297
Subflow Bwd Pkts,0.00871421780233934
Bwd IAT Tot,0.008645118807409978
Tot Bwd Pkts,0.008553097090294287
Pkt Size Avg,0.0084415227039044
Bwd Pkt Len Std,0.006833786348085497
Init Fwd Win Byts,0.005033705004009125
Bwd Pkt Len Max,0.004343800714889518
Bwd Pkt Len Mean,0.001651353109647467
Subflow Bwd Byts,0.0013656967633041742
Down/Up Ratio,0.0012248873319926224
Fwd IAT Max,0.0008922074970417387
Bwd IAT Min,0.0006674992102482796
Bwd Seg Size Avg,0.0004696838987104546
Fwd Act Data Pkts,0.0003154403142640212
URG Flag Cnt,0.00030584524141815344
Pkt Len Var,0.000290780716417652
Flow Byts/s,0.00028849490434165975
ACK Flag Cnt,0.00016847086235312794
Pkt Len Mean,0.0001545100811188369
Pkt Len Std,0.00012399066101635142
Fwd IAT Min,0.00010731727973060805
Bwd Header Len,6.778250970342877e-05
Bwd IAT Std,4.9645272256778045e-05
Flow IAT Min,4.720639335791269e-05
Bwd Pkts/s,3.688462236316367e-05
PSH Flag Cnt,3.451743982567143e-05
Active Max,1.8400502594047072e-05
Fwd Seg Size Min,1.039089228799644e-05
Pkt Len Max,8.71215365935797e-06
Idle Std,7.68369804566012e-06
FIN Flag Cnt,3.5938871145057927e-06
Protocol,2.505350978265688e-06
Fwd PSH Flags,1.9776055218154597e-06
Idle Mean,1.8976973194319578e-06
Idle Max,1.6336463887320421e-06
Active Min,1.4006340189876577e-06
SYN Flag Cnt,1.2187767582591955e-06
Active Mean,1.029412779527352e-06
Active Std,9.75410240377848e-07
Fwd Pkt Len Min,5.343657953091186e-07
Bwd Pkt Len Min,1.522843845005025e-07
Bwd Byts/b Avg,0.0
Bwd Blk Rate Avg,0.0
Bwd PSH Flags,0.0
Fwd Byts/b Avg,0.0
RST Flag Cnt,0.0
Pkt Len Min,0.0
Idle Min,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
CWE Flag Count,0.0
Fwd Pkts/b Avg,0.0
ECE Flag Cnt,0.0
Fwd Blk Rate Avg,0.0
Bwd Pkts/b Avg,0.0
