,importance
Subflow Fwd Pkts,0.1717783071984326
Subflow Fwd Byts,0.08585289760581141
Fwd Seg Size Avg,0.07998540443117913
Fwd Pkt Len Mean,0.07067093256201097
Tot Fwd Pkts,0.06595469600834825
Fwd Pkt Len Max,0.06594916598667502
TotLen Fwd Pkts,0.057359369880093686
Init Bwd Win Byts,0.05596839692960666
Fwd Header Len,0.05424244672419519
Fwd Pkt Len Std,0.052796267924813726
Bwd IAT Min,0.029642965799196785
Pkt Len Mean,0.024734928413346693
Down/Up Ratio,0.017628709968430484
Flow IAT Std,0.016479327023505
Pkt Size Avg,0.016474951196574206
Bwd Seg Size Avg,0.015877625019342
Subflow Bwd Pkts,0.015283896512173645
Flow Byts/s,0.014321107542868089
Bwd Pkt Len Mean,0.013514887123837306
Bwd Header Len,0.011777892165457405
Flow Pkts/s,0.008944065974949022
Bwd Pkts/s,0.008643652412957909
ACK Flag Cnt,0.008250534023230165
Pkt Len Max,0.008231903267041402
Subflow Bwd Byts,0.005862536984488399
Fwd Pkts/s,0.00525733727816054
Fwd Act Data Pkts,0.004126932940451085
TotLen Bwd Pkts,0.00411810150703853
Pkt Len Var,0.004115834562821845
Tot Bwd Pkts,0.004114755049094371
Bwd Pkt Len Max,0.0017542031285846386
Init Fwd Win Byts,7.812950699632055e-05
Flow Duration,2.8321917547619357e-05
Fwd Seg Size Min,2.6206135690218406e-05
Flow IAT Max,2.5858984622093875e-05
Fwd IAT Max,2.0444486693083556e-05
Fwd IAT Tot,1.7907783002189355e-05
Flow IAT Mean,1.738741088878879e-05
Fwd IAT Mean,1.0444931633511144e-05
Fwd IAT Min,9.905832402357958e-06
ECE Flag Cnt,8.054068352294512e-06
Bwd IAT Max,6.612204312330164e-06
Idle Mean,5.97040403765661e-06
Fwd Pkt Len Min,4.923331202722061e-06
Bwd IAT Tot,4.794677904006867e-06
Idle Max,4.5522726485325105e-06
Bwd IAT Std,2.7067514581133995e-06
Idle Std,2.645736391427252e-06
Flow IAT Min,2.360017151647575e-06
Idle Min,1.6592133781532862e-06
Fwd PSH Flags,1.600414348940948e-06
Bwd IAT Mean,1.3281956748758622e-06
SYN Flag Cnt,1.1041486249285374e-06
URG Flag Cnt,9.842483033937573e-07
Protocol,8.285572864644109e-07
Pkt Len Std,7.387511605746318e-07
Bwd Pkt Len Std,1.8467350203850654e-07
Bwd Pkt Len Min,1.2300508355609287e-07
Pkt Len Min,1.229439205822649e-07
Fwd IAT Std,6.542390630837299e-08
RST Flag Cnt,8.271591302080794e-10
Fwd Byts/b Avg,0.0
Active Mean,0.0
Active Min,0.0
Active Std,0.0
Bwd Blk Rate Avg,0.0
Bwd Byts/b Avg,0.0
Active Max,0.0
Fwd URG Flags,0.0
Fwd Blk Rate Avg,0.0
Fwd Pkts/b Avg,0.0
CWE Flag Count,0.0
FIN Flag Cnt,0.0
Bwd PSH Flags,0.0
Bwd Pkts/b Avg,0.0
Bwd URG Flags,0.0
PSH Flag Cnt,0.0
